,tx_price,beds,baths,sqft,year_built,lot_size,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year
tx_price,1.0,0.3840455580983375,0.3893750938739516,0.4695729491201433,0.03313750957132344,0.13055756064694563,,-0.038027225923080665,-0.0943142835452105,0.009360798579224833,-0.0013977199678291829,-0.03824597047656647,-0.02107561263833426,-0.05434868373679793,-0.0011651245284837412,0.12633452973657333,0.2004938354495114,0.26857686091387434,0.5351480296878817,0.5329465729141946,0.1757617373416548,-0.014379817003322306,0.10878183460545408
beds,0.3840455580983375,1.0,0.6445722073829521,0.6910391771130269,-0.01184350870919799,0.16439854949234392,,-0.49583406078436426,-0.42141160253468496,-0.4408436797814327,-0.46428946036513546,-0.3886702354437431,-0.44216821143381807,-0.41983183229195237,-0.4869565331514092,0.13371057123644664,0.6432401574363255,-0.082354375665799,0.5476433483105638,0.4857758968470566,0.13730887232006453,-0.12435935178480184,-0.17408072069503136
baths,0.3893750938739516,0.6445722073829521,1.0,0.6820600513079768,0.20614125334419026,0.13297602449051285,,-0.3502098296198066,-0.34002377069934564,-0.3066863744099544,-0.31683631525738404,-0.25960348134119005,-0.3058850254837616,-0.2820079008366355,-0.3297358095072119,0.09584407938536202,0.44222472410587077,0.016096838833912257,0.5257756075381356,0.47543015424007884,0.16336548499628203,-0.08829863934949433,-0.13210963751734098
sqft,0.4695729491201433,0.6910391771130269,0.6820600513079768,1.0,0.25458922660843525,0.2460161437181044,,-0.35375912447784685,-0.37116749048860803,-0.2815396780496878,-0.3009689911865985,-0.27558586248194716,-0.2934016819647186,-0.31046548407504526,-0.33266303012908055,0.10981074142324425,0.48016663589619485,0.06534303757616412,0.6602644669152881,0.5940486561461019,0.22066892056949516,-0.10203182848264165,-0.2361897558962653
year_built,0.03313750957132344,-0.01184350870919799,0.20614125334419026,0.25458922660843525,1.0,6.791446141967825e-05,,-0.10694842886015696,-0.2224427851734351,-0.08000598656136301,-0.10220858678520645,-0.1216844590245006,-0.19514076257457644,-0.16367016877163532,-0.13491851559306964,-0.23715248010242743,0.038208264918639746,-0.01420438745703263,-0.04650385321847385,-0.10952097234157213,0.1558351705954282,-0.1881064465939705,-0.04330059370504046
lot_size,0.13055756064694563,0.16439854949234392,0.13297602449051285,0.2460161437181044,6.791446141967825e-05,1.0,,-0.1138871749493385,-0.11857358109984123,-0.07222366181223497,-0.09818177436745401,-0.11655974519716461,-0.0671888437467292,-0.12107481653334182,-0.09266781415440956,0.09913955868981386,0.12202807840786821,-0.030724854053555364,0.1658000456782764,0.14657929583569815,0.09655089080854394,-0.03153505268761428,-0.04820684066431339
basement,,,,,,,,,,,,,,,,,,,,,,,
restaurants,-0.038027225923080665,-0.49583406078436426,-0.3502098296198066,-0.35375912447784685,-0.10694842886015696,-0.1138871749493385,,1.0,0.7014621126696269,0.9266746117020938,0.9376164426889014,0.8188152162658116,0.726906707443987,0.8678293176527223,0.881798602082277,-0.06381588011003256,-0.6155840055358707,0.21425951466013513,-0.10082147395510245,-0.019925269131433773,-0.0684247952015966,0.2511707983305043,0.04473925800856172
groceries,-0.0943142835452105,-0.42141160253468496,-0.34002377069934564,-0.37116749048860803,-0.2224427851734351,-0.11857358109984123,,0.7014621126696269,1.0,0.5650031225989145,0.6028567680967956,0.5263561365896223,0.5028366831066362,0.6268501969665794,0.5745315044439134,-0.022376677466506126,-0.5087926830592182,-0.0060249249744540575,-0.15950568936082263,-0.0939743513547624,-0.3545525584194953,0.2728559587222027,0.11567365160951856
nightlife,0.009360798579224833,-0.4408436797814327,-0.3066863744099544,-0.2815396780496878,-0.08000598656136301,-0.07222366181223497,,0.9266746117020938,0.5650031225989145,1.0,0.9239013790053117,0.7433214678892711,0.7030379343835563,0.7774614401421007,0.8588358465542869,-0.028611181451470378,-0.5688110777749482,0.253716866721328,-0.054386305087745175,0.02455050797820751,-0.03694805347066255,0.1963985239071378,0.02749482833641349
cafes,-0.0013977199678291829,-0.46428946036513546,-0.31683631525738404,-0.3009689911865985,-0.10220858678520645,-0.09818177436745401,,0.9376164426889014,0.6028567680967956,0.9239013790053117,1.0,0.8370577124918447,0.6945747204556428,0.8225411229646976,0.8266478325770291,0.026400214048869677,-0.5818499855665983,0.2666521730047727,-0.04441043386383415,0.03650188795723786,-0.027867625058656947,0.2243115665025147,0.013557976580834578
shopping,-0.03824597047656647,-0.3886702354437431,-0.25960348134119005,-0.27558586248194716,-0.1216844590245006,-0.11655974519716461,,0.8188152162658116,0.5263561365896223,0.7433214678892711,0.8370577124918447,1.0,0.653802762294234,0.8609869388366163,0.6785147049349917,0.032339496155664164,-0.45407192806069274,0.1773830821966908,-0.040555908801611106,0.018845944728480866,-0.04805808564133195,0.22898787092808645,-0.00032371780593868504
arts_entertainment,-0.02107561263833426,-0.44216821143381807,-0.3058850254837616,-0.2934016819647186,-0.19514076257457644,-0.0671888437467292,,0.726906707443987,0.5028366831066362,0.7030379343835563,0.6945747204556428,0.653802762294234,1.0,0.7578600581693186,0.800994426629622,-0.014640184162337222,-0.5545334701990792,0.23912892983533574,-0.06634587724851294,0.015380008441900754,-0.13826605649215426,0.2141630874919296,0.03435647900488951
beauty_spas,-0.05434868373679793,-0.41983183229195237,-0.2820079008366355,-0.31046548407504526,-0.16367016877163532,-0.12107481653334182,,0.8678293176527223,0.6268501969665794,0.7774614401421007,0.8225411229646976,0.8609869388366163,0.7578600581693186,1.0,0.7859199523813595,-0.0029608876092524486,-0.5103312363334578,0.1770656141410863,-0.05729328845389104,0.010979587098388234,-0.09872711891869437,0.262651498453166,0.0080656524208301
active_life,-0.0011651245284837412,-0.4869565331514092,-0.3297358095072119,-0.33266303012908055,-0.13491851559306964,-0.09266781415440956,,0.881798602082277,0.5745315044439134,0.8588358465542869,0.8266478325770291,0.6785147049349917,0.800994426629622,0.7859199523813595,1.0,-0.08115855736310822,-0.6320522897920099,0.32398496837352175,-0.05764564435617243,0.030910905280418392,0.007675017698022519,0.23524630473588054,0.028759067199652176
median_age,0.12633452973657333,0.13371057123644664,0.09584407938536202,0.10981074142324425,-0.23715248010242743,0.09913955868981386,,-0.06381588011003256,-0.022376677466506126,-0.028611181451470378,0.026400214048869677,0.032339496155664164,-0.014640184162337222,-0.0029608876092524486,-0.08115855736310822,1.0,0.04555528544041421,0.16974880504277623,0.21543532422610806,0.23250277116181478,-0.002861160600147455,0.07145534642935467,-0.11848975065002217
married,0.2004938354495114,0.6432401574363255,0.44222472410587077,0.48016663589619485,0.038208264918639746,0.12202807840786821,,-0.6155840055358707,-0.5087926830592182,-0.5688110777749482,-0.5818499855665983,-0.45407192806069274,-0.5545334701990792,-0.5103312363334578,-0.6320522897920099,0.04555528544041421,1.0,-0.1434613226134998,0.3053300325327955,0.23370129427103328,0.16943917240503675,-0.21286984551771154,-0.13478683925227292
college_grad,0.26857686091387434,-0.082354375665799,0.016096838833912257,0.06534303757616412,-0.01420438745703263,-0.030724854053555364,,0.21425951466013513,-0.0060249249744540575,0.253716866721328,0.2666521730047727,0.1773830821966908,0.23912892983533574,0.1770656141410863,0.32398496837352175,0.16974880504277623,-0.1434613226134998,1.0,0.2879330552216651,0.32605667033995356,0.40030631496893876,0.04975600021373215,-0.18993230456181537
property_tax,0.5351480296878817,0.5476433483105638,0.5257756075381356,0.6602644669152881,-0.04650385321847385,0.1658000456782764,,-0.10082147395510245,-0.15950568936082263,-0.054386305087745175,-0.04441043386383415,-0.040555908801611106,-0.06634587724851294,-0.05729328845389104,-0.05764564435617243,0.21543532422610806,0.3053300325327955,0.2879330552216651,1.0,0.9847235653715316,0.237454842745332,0.037342293375466205,-0.25770313632467484
insurance,0.5329465729141946,0.4857758968470566,0.47543015424007884,0.5940486561461019,-0.10952097234157213,0.14657929583569815,,-0.019925269131433773,-0.0939743513547624,0.02455050797820751,0.03650188795723786,0.018845944728480866,0.015380008441900754,0.010979587098388234,0.030910905280418392,0.23250277116181478,0.23370129427103328,0.32605667033995356,0.9847235653715316,1.0,0.23488949359702688,0.05698523861387845,-0.2547061030606405
median_school,0.1757617373416548,0.13730887232006453,0.16336548499628203,0.22066892056949516,0.1558351705954282,0.09655089080854394,,-0.0684247952015966,-0.3545525584194953,-0.03694805347066255,-0.027867625058656947,-0.04805808564133195,-0.13826605649215426,-0.09872711891869437,0.007675017698022519,-0.002861160600147455,0.16943917240503675,0.40030631496893876,0.237454842745332,0.23488949359702688,1.0,-0.145572032881075,-0.1671414648162637
num_schools,-0.014379817003322306,-0.12435935178480184,-0.08829863934949433,-0.10203182848264165,-0.1881064465939705,-0.03153505268761428,,0.2511707983305043,0.2728559587222027,0.1963985239071378,0.2243115665025147,0.22898787092808645,0.2141630874919296,0.262651498453166,0.23524630473588054,0.07145534642935467,-0.21286984551771154,0.04975600021373215,0.037342293375466205,0.05698523861387845,-0.145572032881075,1.0,0.007360954160771715
tx_year,0.10878183460545408,-0.17408072069503136,-0.13210963751734098,-0.2361897558962653,-0.04330059370504046,-0.04820684066431339,,0.04473925800856172,0.11567365160951856,0.02749482833641349,0.013557976580834578,-0.00032371780593868504,0.03435647900488951,0.0080656524208301,0.028759067199652176,-0.11848975065002217,-0.13478683925227292,-0.18993230456181537,-0.25770313632467484,-0.2547061030606405,-0.1671414648162637,0.007360954160771715,1.0
